"id","rule_type","evidence","severity","source_ku_id"
"rule_7f436fc28345","evaluation","轻度应为勾缝损坏、沉降缝损坏、表面破损、钢筋外露和锈蚀等,每10m计1处,不足10m按1处计算。","轻度","KU_JTG_5210_2018_1_6a7b8c9d"
"rule_e0ed5993d6aa","evaluation","中度应为局部基础淘空、墙体脱空、轻度裂缝、鼓肚、下沉等,每10m计1处,不足10m按1处计算。","中度","KU_JTG_5210_2018_2_6a7b8c9d"
"rule_7684431e623a","evaluation","中度应为边沟、排水沟、截水沟等排水系统全截面堵塞,出现衬砌剥落、破损、圬工体破裂、管道损坏等,每10m计1处,不足10m按1处计算。","中度","KU_JTG_5210_2018_2_9e8f7a6b"
"rule_2c8fd5007bc0","evaluation","重度应为主要裂缝块度在0.5~1.0m之间,平均裂缝宽度大于2mm。","重度","KU_JTG_5210_2018_2_9a7b3c1d"
"rule_12469e85af48","evaluation","存在5类桥梁、5类隧道、危险涵洞及影响交通安全的重度边坡坍塌的评定单元,MQI值应取0。","重度","KU_JTG_5210_2018_7.2.3_4a7b2c9d"
"rule_47f821de5d3b","evaluation","水毁冲沟 中 处 30 0.15重 50轻 20","重","KU_JTG_5210_2018_2_1e2f3g4h"
"rule_e28f54160d00","evaluation","路基构造物损坏为重度时,该评定单元的SCI值应取0","重度","KU_JTG_5210_2018_2_5i6j7k8l"
"rule_6ff682b7610d","evaluation","重度边坡坍塌有可能影响交通安全。本标准规定影响交通安全的重度边坡坍塌,其评定单元的MQI值应取0。","重度","KU_JTG_5210_2018_7.3.1_6a8b2c1d"
"rule_6567c445cef4","evaluation","将边坡坍塌的中度和重度损坏的单位扣分由30和50分别提高到50和100;","中度、重度","KU_JTG_5210_2018_7.3.1_9e3f7a4b"
"rule_711d50c5eb4f","evaluation","当边沟冲刷强度超过表4.2.4所列的明沟最大允许流速时,应采取必要的防护","","KU_JTG_D30_2015_3_8a9b2c1d"
"rule_3e493c45d880","evaluation","边坡坡面冲刷 5一处计,当边坡高度超过 20m时,扣分加倍。","","KU_JTG_5150_2020_7_8a9b2c1d"
"rule_e3d95ebbdd7b","evaluation","局部坍塌 50有滑塌或有明显安全隐患的计为一处,当边坡高度超过20m 时,扣分加倍。","","KU_JTG_5150_2020_10_8a7b3c9d"
"rule_1118a1f244ad","evaluation","排(泄)水孔淤塞 20以构造物伸缩缝(含沉降缝)为自然段落,30%及以上排水孔出现排水不畅计为一处","","KU_JTG_5150_2020_13_8a9b2c1d"
"rule_ace6ae3fb4ac","evaluation","结构失稳 100","","KU_JTG_5150_2020_15_3a7b2c9d"
"rule_f7834ed1af02","evaluation","排水设施排水设施堵塞(含涵洞) 5","","KU_JTG_5150_2020_15_8e1f4a6b"
"rule_88d6adb24583","evaluation","排水设施损坏(不含涵洞) 10","","KU_JTG_5150_2020_15_d2c5e8f1"
"rule_fe33cbebc445","evaluation","病害为排水设施不完善,在进行路基技术状况评定时不扣分,仅作为安排路基养护计划的依据。","","KU_JTG_5150_2020_18_e1f2a3b4"
"rule_d8406bed3152","evaluation","表 4.4.6 既有防护及支挡结构物病害权重病害名称 表观破损 排(泄)水孔淤塞 局部损坏 结构失稳
权重 0.1 0.2 0.3 0.4","","KU_JTG_5150_2020__a7b8c9d0"
"rule_61b32dbe2165","evaluation","表 4.4.7 排水设施病害权重病害名称 排水设施不完善 排水设施堵塞 排水设施损坏
权重 0 0.5 0.5","","KU_JTG_5150_2020__a1b2c3d4"
"rule_93cbe44187d5","evaluation","表 4.4.7 排水设施病害权重病害名称 排水设施不完善 排水设施堵塞 排水设施损坏
权重 0 0.5 0.5","","KU_JTG_5150_2020__e5f6g7h8"
"rule_32224471757c","evaluation","当出现表 4.3.3 中标有“*”的路基病害时,应根据实际情况进行分析判断。该病害影响正常通行或威胁交通安全时,该评定单元的路基技术状况指数SCI 按 0 分计。","","KU_JTG_5150_2020_4.4.9_8a7b6c5d"
"rule_e8f66a02bf8a","evaluation","注浆效果的检验宜在注浆结束后 28d 进行,对检验不合格的注浆区应进行重复注浆。","","KU_JTG_5150_2020_4_5f6e7a8b"
"rule_e82d568857cb","evaluation","活动式防雪栅被埋住 2/3~3/4 高度时,应及时拔出并重新在迎风侧的雪堆顶部安放。","","KU_JTG_5150_2020_2_1e2f4g5h"
"rule_1b9af9aabdd1","evaluation","当发现排水口的流量变化有异常,或路面出现裂缝或凹凸时,需要及时检查地下排水设施,","","KU_JTG_5150_2020_10.3.1_8a9b2c1d"
